模拟值,模拟类型,源
0.679467737128075,reflection,GX 339-4 
0.6962525241625855,reflection,GX 339-4 
0.6831178522529685,reflection,GX 339-4 
0.7149688121125753,reflection,GX 339-4 
0.763873033915786,reflection,GX 339-4 
0.6753031029286458,reflection,GX 339-4 
0.7550369223995786,reflection,GX 339-4 
0.67482475674439,reflection,GX 339-4 
0.6718567754376402,reflection,GX 339-4 
0.7468367578254446,reflection,GX 339-4 
0.7514871370103428,reflection,GX 339-4 
0.7483134471543194,reflection,GX 339-4 
0.6507891166301836,reflection,GX 339-4 
0.6890322059867576,reflection,GX 339-4 
0.7470344866401494,reflection,GX 339-4 
0.7118693828253753,reflection,GX 339-4 
0.6616838219211141,reflection,GX 339-4 
0.7306243072606449,reflection,GX 339-4 
0.6778336733453838,reflection,GX 339-4 
0.7907536181776496,reflection,GX 339-4 
0.7795178658088215,reflection,GX 339-4 
0.7371843841860005,reflection,GX 339-4 
0.7712453017146398,reflection,GX 339-4 
0.7129156107555521,reflection,GX 339-4 
0.7444446872468756,reflection,GX 339-4 
0.7764974132885933,reflection,GX 339-4 
0.721047440680744,reflection,GX 339-4 
0.6985165772818572,reflection,GX 339-4 
0.6332920118820298,reflection,GX 339-4 
0.7062589913425328,reflection,GX 339-4 
0.747054043305304,reflection,GX 339-4 
0.7525535042405433,reflection,GX 339-4 
0.7326964279573284,reflection,GX 339-4 
0.6856415407266991,reflection,GX 339-4 
0.6210430293973583,reflection,GX 339-4 
0.6877153205897869,reflection,GX 339-4 
0.6963044808025721,reflection,GX 339-4 
0.6959181964764494,reflection,GX 339-4 
0.7378350360640066,reflection,GX 339-4 
0.7993554384956677,reflection,GX 339-4 
0.7155588140828492,reflection,GX 339-4 
0.7002470694879592,reflection,GX 339-4 
0.6983350184148158,reflection,GX 339-4 
0.7155973145108471,reflection,GX 339-4 
0.672726780784322,reflection,GX 339-4 
0.7154089351435724,reflection,GX 339-4 
0.7302865551349309,reflection,GX 339-4 
0.719435872860852,reflection,GX 339-4 
0.7305893870302151,reflection,GX 339-4 
0.7295186424206841,reflection,GX 339-4 
0.63026464929891,reflection,GX 339-4 
0.7386591571277931,reflection,GX 339-4 
0.6798043319451895,reflection,GX 339-4 
0.6606872376648218,reflection,GX 339-4 
0.6602996677465252,reflection,GX 339-4 
0.7295093724712638,reflection,GX 339-4 
0.6999841282748815,reflection,GX 339-4 
0.6343114047206565,reflection,GX 339-4 
0.7315117016836528,reflection,GX 339-4 
0.6452176341140528,reflection,GX 339-4 
0.7162919611333195,reflection,GX 339-4 
0.7207324516552874,reflection,GX 339-4 
0.749850968676277,reflection,GX 339-4 
0.7901758153910082,reflection,GX 339-4 
0.6485895653344755,reflection,GX 339-4 
0.7076386764771627,reflection,GX 339-4 
0.6975649117230102,reflection,GX 339-4 
0.7295187358682432,reflection,GX 339-4 
0.7197050946920128,reflection,GX 339-4 
0.6941354190768521,reflection,GX 339-4 
0.6901594015125114,reflection,GX 339-4 
0.6597597115167179,reflection,GX 339-4 
0.7544537712082928,reflection,GX 339-4 
0.7306641881719788,reflection,GX 339-4 
0.7512995689007811,reflection,GX 339-4 
0.6960321738586018,reflection,GX 339-4 
0.6804424039087505,reflection,GX 339-4 
0.6614758220016848,reflection,GX 339-4 
0.7261512912683297,reflection,GX 339-4 
0.6632093048962294,reflection,GX 339-4 
0.7931898381034947,reflection,GX 339-4 
