模拟值,模拟类型,源
0.8863178471640829,all,MAXI J1744-294
0.9584733876118181,all,MAXI J1744-294
0.938516398656627,all,MAXI J1744-294
0.9188237782880982,all,MAXI J1744-294
0.9875334328594766,all,MAXI J1744-294
0.9133473686783908,all,MAXI J1744-294
0.9589703306126524,all,MAXI J1744-294
0.9928589965577854,all,MAXI J1744-294
0.9247391112933316,all,MAXI J1744-294
0.8576905569371849,all,MAXI J1744-294
0.9218619497472318,all,MAXI J1744-294
0.9485177683708946,all,MAXI J1744-294
0.9851352674243263,all,MAXI J1744-294
0.9165477689393845,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.8815529929569815,all,MAXI J1744-294
0.9473864649046294,all,MAXI J1744-294
0.9292376634830857,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.8736858768648126,all,MAXI J1744-294
0.9591535641161165,all,MAXI J1744-294
0.9290095765647379,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.9027148593449837,all,MAXI J1744-294
0.9586893218122496,all,MAXI J1744-294
0.9022813806802967,all,MAXI J1744-294
0.9484627979840281,all,MAXI J1744-294
0.9233785807271152,all,MAXI J1744-294
0.9226646610134158,all,MAXI J1744-294
0.8505654112853208,all,MAXI J1744-294
0.9586562828961143,all,MAXI J1744-294
0.8912992388371667,all,MAXI J1744-294
0.8897494173226649,all,MAXI J1744-294
0.8700122467498551,all,MAXI J1744-294
0.8924777788720455,all,MAXI J1744-294
0.9625215894848134,all,MAXI J1744-294
0.9603027979818883,all,MAXI J1744-294
0.9698669932243552,all,MAXI J1744-294
0.8937858598219834,all,MAXI J1744-294
0.9496651731507725,all,MAXI J1744-294
0.9123077410148145,all,MAXI J1744-294
0.9829628359752242,all,MAXI J1744-294
0.9591706279679936,all,MAXI J1744-294
0.9104566752978874,all,MAXI J1744-294
0.9868258990893206,all,MAXI J1744-294
0.9628304953288596,all,MAXI J1744-294
0.8775848727888779,all,MAXI J1744-294
0.8647815018400791,all,MAXI J1744-294
0.8793541380763021,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.8943041818283606,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.8919706637625523,all,MAXI J1744-294
0.8871760725125195,all,MAXI J1744-294
0.9795978616478468,all,MAXI J1744-294
0.9816485489906096,all,MAXI J1744-294
0.9650121328135128,all,MAXI J1744-294
0.970424963220624,all,MAXI J1744-294
0.9039270201088749,all,MAXI J1744-294
0.9774851437966292,all,MAXI J1744-294
0.950799850227337,all,MAXI J1744-294
0.9235626074687248,all,MAXI J1744-294
0.9442578954003145,all,MAXI J1744-294
0.9877290618167175,all,MAXI J1744-294
0.9576332771331016,all,MAXI J1744-294
0.8428989058284844,all,MAXI J1744-294
0.9801052542081344,all,MAXI J1744-294
0.9766587421058146,all,MAXI J1744-294
0.9229420894161751,all,MAXI J1744-294
0.9452536731948605,all,MAXI J1744-294
0.9450732888021699,all,MAXI J1744-294
0.8509243190810454,all,MAXI J1744-294
0.921924836090765,all,MAXI J1744-294
0.9236660314923891,all,MAXI J1744-294
0.9328572909016016,all,MAXI J1744-294
0.9163368506259559,all,MAXI J1744-294
0.9698278796150521,all,MAXI J1744-294
0.9035891995645904,all,MAXI J1744-294
0.9809534724710598,all,MAXI J1744-294
0.9677083937528694,all,MAXI J1744-294
1.0,all,MAXI J1744-294
1.0,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.8866471916034386,all,MAXI J1744-294
0.9554883626017807,all,MAXI J1744-294
0.9076996184658965,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.9676332111543156,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.9595916276574319,all,MAXI J1744-294
0.8214050611433588,all,MAXI J1744-294
0.9047395735772699,all,MAXI J1744-294
0.9091487676691161,all,MAXI J1744-294
0.9224439125096368,all,MAXI J1744-294
0.9561805735114043,all,MAXI J1744-294
0.9625599725986463,all,MAXI J1744-294
0.8217698602127534,all,MAXI J1744-294
0.9293386196120771,all,MAXI J1744-294
0.9181355745376453,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.9666510071836194,all,MAXI J1744-294
0.9317615114918288,all,MAXI J1744-294
0.9500656370738206,all,MAXI J1744-294
0.8640839633026572,all,MAXI J1744-294
0.9697608420174313,all,MAXI J1744-294
0.9222007485733252,all,MAXI J1744-294
0.9036679552257209,all,MAXI J1744-294
0.9991404327926315,all,MAXI J1744-294
0.9523111370204916,all,MAXI J1744-294
0.9100556081418687,all,MAXI J1744-294
0.9128023084187733,all,MAXI J1744-294
0.9564657852838222,all,MAXI J1744-294
0.9529677083413283,all,MAXI J1744-294
0.9413241273141,all,MAXI J1744-294
0.885848962513182,all,MAXI J1744-294
0.8925041190950832,all,MAXI J1744-294
0.9063258709825184,all,MAXI J1744-294
0.9311734106161268,all,MAXI J1744-294
0.9381410021601472,all,MAXI J1744-294
0.9328013038419303,all,MAXI J1744-294
0.9348589767518282,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.9782162538966926,all,MAXI J1744-294
0.9934697540446706,all,MAXI J1744-294
0.960891879620379,all,MAXI J1744-294
0.9432581202542311,all,MAXI J1744-294
0.9584481207826395,all,MAXI J1744-294
0.9501619077676947,all,MAXI J1744-294
0.9763590193875198,all,MAXI J1744-294
0.8961186790008204,all,MAXI J1744-294
0.9726136192577391,all,MAXI J1744-294
0.9475176400949785,all,MAXI J1744-294
0.8586810833057887,all,MAXI J1744-294
0.9438574758983991,all,MAXI J1744-294
0.8812201989599867,all,MAXI J1744-294
0.9159251046976277,all,MAXI J1744-294
0.9328364203110275,all,MAXI J1744-294
0.8721804159021247,all,MAXI J1744-294
0.93758164676922,all,MAXI J1744-294
0.9430810634681728,all,MAXI J1744-294
0.9739783179308598,all,MAXI J1744-294
0.9195805592372107,all,MAXI J1744-294
0.952351375194377,all,MAXI J1744-294
0.9357064262898784,all,MAXI J1744-294
0.9211778168709259,all,MAXI J1744-294
0.8648240217186833,all,MAXI J1744-294
0.9349779861701726,all,MAXI J1744-294
0.9735030623831126,all,MAXI J1744-294
0.8979827444236697,all,MAXI J1744-294
0.9301997262415777,all,MAXI J1744-294
0.9368280703107563,all,MAXI J1744-294
0.9896098284301793,all,MAXI J1744-294
0.9413548520735218,all,MAXI J1744-294
0.952963931889089,all,MAXI J1744-294
0.9396104778821407,all,MAXI J1744-294
0.9178462378761935,all,MAXI J1744-294
0.8889486737099119,all,MAXI J1744-294
0.9271717556167922,all,MAXI J1744-294
0.9577011687006642,all,MAXI J1744-294
0.9455384365599809,all,MAXI J1744-294
1.0,all,MAXI J1744-294
0.982563341647773,all,MAXI J1744-294
